id,Hero_Name_(multiple_search_terms_allowed,image,Primary_Stat,Agility,Agility_Gain,Intelligence,Intelligence_Gain,Strength,Strength_Gain,Health,Health_Regen,Mana,Mana_Regen,Armor,%Physical_Damage_Reduction,Movement_Speed,Turn_Rate,Base_Damage_Average,Base_Damage_Min,Base_Damage_Max,Bonus_Damage,Bonus_Damage_Reduction,Damage_Average,Damage_Min,Damage_Max,Status_Resistance,Magic_Resistance,Base_Attack_Time,Increased_Attack_Speed,Attack_Type,Attack_Time,Attacks_Per_Second,Attack_Point,Projectile_Speed,Evasion,Physical_Effective_Health,Magical_Effective_Health,Bash_Chance,Crit_Chance,Miss_Chance,Attack_Range,Vision_Range_Day,Vision_Range_Night,Lifesteal,Attack_Damage,Damage_Per_Second,Hero_Icon
1,Abaddon,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/abaddon.png,STR,17,1.5,21,2,23,2.6,660,1.75,327,1.28,0.83,4,310,0.5,60,55,65,0,0,60,55,65,3.45,25,1.7,17,MELEE,1.45,0.69,0.56,900,0,687.5,880,0,0,0,150,1800,800,0,60,41.4,"<div_class=""heroes-sprite-abaddon_heroes-sprite-32x18""></div>"
2,Underlord,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/underlord.png,STR,12,1.3,17,2.6,25,2.9,700,1.77,279,1.21,3,13.04,285,0.6,65,62,68,0,0,65,62,68,3.75,25,1.7,12,MELEE,1.52,0.66,0.45,900,0,805,933.33,0,0,0,150,1800,800,0,65,42.9,"<div_class=""heroes-sprite-abyssal_underlord_heroes-sprite-32x18""></div>"
3,Alchemist,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/alchemist.png,STR,16,1.2,25,1.8,25,2.1,700,1.77,375,1.35,1.67,7.69,290,0.6,53.5,49,58,0,0,53.5,49,58,3.75,25,1.7,16,MELEE,1.47,0.68,0.35,900,0,758.33,933.33,0,0,0,150,1800,800,0,53.5,36.38,"<div_class=""heroes-sprite-alchemist_heroes-sprite-32x18""></div>"
4,Ancient Apparition,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/ancient_apparition.png,INT,20,2.2,23,2.6,20,1.7,600,1.71,351,1.31,2.33,10.45,295,0.6,49,44,54,0,0,49,44,54,0,22.41,1.7,20,RANGED,1.42,0.71,0.45,1250,0,670,773.32,0,0,0,675,1800,800,0,49,34.79,"<div_class=""heroes-sprite-ancient_apparition_heroes-sprite-32x18""></div>"
5,Anti-Mage,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/anti-mage.png,AGI,22,2.8,12,1.8,23,1.3,660,2.04,219,1.12,2.67,11.76,314.09,0.5,53,51,55,0,0,53,51,55,0,25,1.4,22,MELEE,1.15,0.87,0.3,0,0,748,880,0,0,0,150,1800,800,0,53,46.11,"<div_class=""heroes-sprite-antimage_heroes-sprite-32x18""></div>"
6,Arc Warden,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/arc_warden.png,AGI,15,1.8,24,2.6,25,3,700,2.06,363,1.33,0.5,2.44,282.52,0.6,51,46,56,0,0,51,46,56,0,25,1.7,15,RANGED,1.48,0.68,0.3,900,0,717.5,933.33,0,0,0,625,1800,800,0,51,34.68,"<div_class=""heroes-sprite-arc_warden_heroes-sprite-32x18""></div>"
7,Axe,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/axe.png,STR,20,2.2,18,1.6,25,2.8,700,5.01,291,1.22,1.33,6.25,290,0.6,51,49,53,0,0,51,49,53,3.75,25,1.7,20,MELEE,1.42,0.71,0.5,900,0,746.67,933.33,0,0,0,150,1800,800,0,51,36.21,"<div_class=""heroes-sprite-axe_heroes-sprite-32x18""></div>"
8,Bane,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bane.png,INT,23,2.4,23,2.4,23,2.4,660,1.75,351,1.31,4.83,19.46,310,0.6,61,58,64,0,0,61,58,64,0,22.41,1.7,23,RANGED,1.38,0.72,0.3,900,0,819.5,850.65,0,0,0,400,1800,800,0,61,43.92,"<div_class=""heroes-sprite-bane_heroes-sprite-32x18""></div>"
9,Batrider,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/batrider.png,INT,15,1.5,22,2.5,28,2.7,760,3.9,339,1.3,2.5,11.11,290,1,40,38,42,0,0,40,38,42,0,22.53,1.7,15,RANGED,1.48,0.68,0.3,900,0,855,980.96,0,0,0,375,1200,800,0,40,27.2,"<div_class=""heroes-sprite-batrider_heroes-sprite-32x18""></div>"
10,Beastmaster,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/beastmaster.png,STR,18,1.6,16,1.9,23,2.5,660,1.75,267,1.19,2,9.09,305,0.5,66,64,68,0,0,66,64,68,3.45,25,1.7,18,MELEE,1.44,0.69,0.3,0,0,726,880,0,0,0,150,1800,800,0,66,45.54,"<div_class=""heroes-sprite-beastmaster_heroes-sprite-32x18""></div>"
11,Bloodseeker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bloodseeker.png,AGI,24,3,18,1.7,24,2.7,680,1.76,291,1.22,4,16.67,289.1,0.5,60,57,63,0,0,60,57,63,0,25,1.7,24,MELEE,1.37,0.73,0.43,900,0,816,906.67,0,0,0,150,1800,800,0,60,43.8,"<div_class=""heroes-sprite-bloodseeker_heroes-sprite-32x18""></div>"
12,Bounty Hunter,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bounty_hunter.png,AGI,21,3,19,2,18,2.1,560,2.26,303,1.24,6.5,24.53,318.97,0.6,52,45,59,0,0,52,45,59,0,25,1.7,21,MELEE,1.4,0.71,0.59,900,0,742,746.67,0,0,0,150,1800,1000,0,52,36.92,"<div_class=""heroes-sprite-bounty_hunter_heroes-sprite-32x18""></div>"
13,Brewmaster,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/brewmaster.png,STR,22,1.95,14,1.25,23,3.2,660,2.33,243,1.15,1.67,7.69,295,0.6,55.5,52,59,0,0,55.5,52,59,3.45,25,1.7,22,MELEE,1.39,0.72,0.35,900,0,715,880,0,0,0,150,1800,800,0,55.5,39.96,"<div_class=""heroes-sprite-brewmaster_heroes-sprite-32x18""></div>"
14,Bristleback,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bristleback.png,STR,17,1.8,14,2.8,22,2.2,640,1.74,243,1.15,2.83,12.41,285,1,49,44,54,0,0,49,44,54,3.3,25,1.8,17,MELEE,1.54,0.65,0.3,900,0,730.67,853.33,0,0,0,150,1800,800,0,49,31.85,"<div_class=""heroes-sprite-bristleback_heroes-sprite-32x18""></div>"
15,Broodmother,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/broodmother.png,AGI,15,2.2,18,2,18,2.8,560,1.69,291,1.22,2.5,11.11,272.43,0.5,44,41,47,0,0,44,41,47,0,25,1.7,15,MELEE,1.48,0.68,0.4,900,0,630,746.67,0,0,0,150,1800,800,0,44,29.92,"<div_class=""heroes-sprite-broodmother_heroes-sprite-32x18""></div>"
16,Centaur Warrunner,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/centaur_warrunner.png,STR,15,1,15,1.6,27,4.3,740,1.79,255,1.17,1.5,6.98,295,0.5,64,63,65,0,0,64,63,65,4.05,25,1.7,15,MELEE,1.48,0.68,0.3,900,0,795.5,986.67,0,0,0,150,1800,800,0,64,43.52,"<div_class=""heroes-sprite-centaur_heroes-sprite-32x18""></div>"
17,Chaos Knight,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/chaos_knight.png,STR,14,2.1,18,1.2,22,3.2,640,1.74,291,1.22,3.33,14.29,320,0.5,66,51,81,0,0,66,51,81,3.3,25,1.7,14,MELEE,1.49,0.67,0.5,900,0,746.67,853.33,0,0,0,150,1800,800,0,66,44.22,"<div_class=""heroes-sprite-chaos_knight_heroes-sprite-32x18""></div>"
18,Chen,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/chen.png,INT,15,2.1,19,2.8,25,1.8,700,1.77,303,1.24,1.5,6.98,310,0.6,53,48,58,0,0,53,48,58,0,22.86,1.7,15,RANGED,1.48,0.68,0.5,1100,0,752.5,907.47,0,0,0,650,1800,800,0,53,36.04,"<div_class=""heroes-sprite-chen_heroes-sprite-32x18""></div>"
19,Clinkz,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/clinkz.png,AGI,22,2.6,18,1.7,14,1.9,480,1.93,291,1.22,3.67,15.49,298.89,0.5,40,37,43,0,0,40,37,43,0,25,1.7,22,RANGED,1.39,0.72,0.7,900,0,568,640,0,0,0,640,1800,800,0,40,28.8,"<div_class=""heroes-sprite-clinkz_heroes-sprite-32x18""></div>"
20,Crystal Maiden,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/crystal_maiden.png,INT,16,1.6,14,2.9,18,2,560,1.69,243,1.15,2.67,11.76,275,0.5,43,40,46,0,0,43,40,46,0,23.43,1.7,16,RANGED,1.47,0.68,0.55,900,0,634.67,731.31,0,0,0,600,1800,800,0,43,29.24,"<div_class=""heroes-sprite-crystal_maiden_heroes-sprite-32x18""></div>"
21,Dark Seer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dark_seer.png,INT,12,1.2,21,2.7,24,2.9,680,1.76,327,1.28,7,25.93,295,0.6,57,54,60,0,0,57,54,60,0,22.64,1.7,12,MELEE,1.52,0.66,0.59,900,0,918,878.98,0,0,0,150,1800,800,0,57,37.62,"<div_class=""heroes-sprite-dark_seer_heroes-sprite-32x18""></div>"
22,Dark Willow,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dark_willow.png,INT,18,1.6,18,3,20,1.8,600,1.71,291,1.22,2,9.09,295,0.7,49,45,53,0,0,49,45,53,0,22.98,1.3,18,RANGED,1.1,0.91,0.3,1200,0,660,778.97,0,0,0,475,1800,800,0,49,44.59,"<div_class=""heroes-sprite-dark_willow_heroes-sprite-32x18""></div>"
23,Dazzle,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dazzle.png,INT,21,1.7,25,3.4,18,2.3,560,1.69,375,1.35,2.5,11.11,310,0.6,50,47,53,0,0,50,47,53,0,22.19,1.7,21,RANGED,1.4,0.71,0.3,1200,0,630,719.68,0,0,0,550,1800,800,0,50,35.5,"<div_class=""heroes-sprite-dazzle_heroes-sprite-32x18""></div>"
